ENLIGHTEN Version,3.2.36
Measurement ID,20260121-153022-722874-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CDCl3
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:30:22.722874
Note,
Temperature,9.993813157576085
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
80,535.04,103.19,1359.00
81,535.15,107.11,1309.33
82,535.26,111.03,1273.67
83,535.37,114.94,1244.67
84,535.49,118.85,1220.00
85,535.60,122.77,1212.00
86,535.71,126.68,1210.00
87,535.82,130.59,1207.67
88,535.94,134.50,1193.67
89,536.05,138.40,1178.00
90,536.16,142.31,1171.67
91,536.27,146.21,1152.67
92,536.38,150.12,1140.67
93,536.50,154.02,1136.00
94,536.61,157.92,1138.00
95,536.72,161.82,1132.00
96,536.83,165.71,1131.00
97,536.95,169.61,1126.33
98,537.06,173.50,1117.00
99,537.17,177.40,1114.33
100,537.28,181.29,1126.00
101,537.40,185.18,1141.33
102,537.51,189.07,1149.67
103,537.62,192.96,1138.00
104,537.73,196.84,1156.33
105,537.84,200.73,1168.33
106,537.96,204.61,1192.00
107,538.07,208.49,1181.67
108,538.18,212.37,1203.67
109,538.29,216.25,1246.00
110,538.41,220.13,1294.67
111,538.52,224.01,1344.00
112,538.63,227.88,1433.67
113,538.74,231.76,1633.67
114,538.86,235.63,1878.67
115,538.97,239.50,2161.67
116,539.08,243.37,2376.33
117,539.19,247.24,2558.67
118,539.31,251.11,2707.33
119,539.42,254.97,2866.67
120,539.53,258.84,2833.67
121,539.64,262.70,2542.67
122,539.76,266.56,2070.00
123,539.87,270.42,1668.33
124,539.98,274.28,1434.67
125,540.09,278.14,1305.00
126,540.21,281.99,1250.33
127,540.32,285.85,1210.67
128,540.43,289.70,1192.33
129,540.54,293.55,1178.00
130,540.66,297.40,1175.33
131,540.77,301.25,1183.00
132,540.88,305.10,1183.00
133,540.99,308.95,1189.33
134,541.11,312.79,1182.33
135,541.22,316.64,1183.00
136,541.33,320.48,1185.67
137,541.44,324.32,1200.33
138,541.56,328.16,1231.33
139,541.67,332.00,1304.00
140,541.78,335.84,1461.33
141,541.89,339.67,1738.33
142,542.01,343.50,2063.00
143,542.12,347.34,2371.33
144,542.23,351.17,2602.33
145,542.34,355.00,2845.33
146,542.46,358.83,3009.00
147,542.57,362.65,2952.67
148,542.68,366.48,2519.67
149,542.80,370.30,1951.00
150,542.91,374.13,1495.33
151,543.02,377.95,1278.33
152,543.13,381.77,1201.00
153,543.25,385.59,1181.33
154,543.36,389.41,1182.00
155,543.47,393.22,1171.33
156,543.58,397.04,1149.33
157,543.70,400.85,1135.00
158,543.81,404.66,1140.00
159,543.92,408.47,1130.33
160,544.03,412.28,1133.33
161,544.15,416.09,1128.33
162,544.26,419.90,1155.67
163,544.37,423.70,1142.33
164,544.49,427.51,1136.00
165,544.60,431.31,1114.33
166,544.71,435.11,1116.33
167,544.82,438.91,1116.33
168,544.94,442.71,1116.00
169,545.05,446.51,1112.00
170,545.16,450.30,1115.00
171,545.28,454.10,1110.33
172,545.39,457.89,1127.67
173,545.50,461.68,1133.33
174,545.61,465.47,1152.33
175,545.73,469.26,1174.33
176,545.84,473.05,1172.67
177,545.95,476.83,1175.33
178,546.06,480.62,1148.33
179,546.18,484.40,1140.67
180,546.29,488.18,1122.33
181,546.40,491.96,1116.33
182,546.52,495.74,1131.67
183,546.63,499.52,1148.00
184,546.74,503.30,1143.00
185,546.85,507.07,1129.67
186,546.97,510.84,1109.33
187,547.08,514.62,1120.33
188,547.19,518.39,1116.33
189,547.31,522.16,1131.67
190,547.42,525.93,1115.00
191,547.53,529.69,1118.33
192,547.65,533.46,1111.33
193,547.76,537.22,1139.33
194,547.87,540.98,1136.67
195,547.98,544.74,1131.67
196,548.10,548.50,1117.67
197,548.21,552.26,1126.00
198,548.32,556.02,1143.00
199,548.44,559.78,1141.67
200,548.55,563.53,1128.33
201,548.66,567.28,1098.00
202,548.77,571.03,1093.00
203,548.89,574.79,1098.67
204,549.00,578.53,1110.67
205,549.11,582.28,1105.00
206,549.23,586.03,1123.33
207,549.34,589.77,1121.33
208,549.45,593.52,1133.33
209,549.57,597.26,1122.67
210,549.68,601.00,1123.33
211,549.79,604.74,1127.67
212,549.90,608.48,1146.00
213,550.02,612.21,1166.33
214,550.13,615.95,1198.00
215,550.24,619.68,1251.00
216,550.36,623.41,1413.00
217,550.47,627.14,1723.00
218,550.58,630.87,2159.00
219,550.70,634.60,2672.33
220,550.81,638.33,3140.67
221,550.92,642.05,3523.67
222,551.03,645.78,3616.67
223,551.15,649.50,3249.67
224,551.26,653.22,2534.67
225,551.37,656.94,1821.33
226,551.49,660.66,1396.67
227,551.60,664.38,1244.67
228,551.71,668.09,1243.00
229,551.83,671.81,1242.00
230,551.94,675.52,1233.67
231,552.05,679.23,1179.67
232,552.17,682.94,1176.33
233,552.28,686.65,1175.33
234,552.39,690.36,1172.33
235,552.50,694.07,1177.33
236,552.62,697.77,1203.00
237,552.73,701.47,1285.00
238,552.84,705.18,1352.67
239,552.96,708.88,1433.67
240,553.07,712.58,1501.00
241,553.18,716.27,1591.67
242,553.30,719.97,1668.33
243,553.41,723.67,1744.67
244,553.52,727.36,1813.00
245,553.64,731.05,1834.67
246,553.75,734.74,1803.00
247,553.86,738.43,1723.33
248,553.98,742.12,1631.33
249,554.09,745.81,1509.33
250,554.20,749.49,1414.33
251,554.32,753.18,1320.33
252,554.43,756.86,1273.00
253,554.54,760.54,1217.33
254,554.65,764.22,1197.67
255,554.77,767.90,1176.00
256,554.88,771.58,1163.33
257,554.99,775.25,1151.33
258,555.11,778.93,1138.00
259,555.22,782.60,1140.00
260,555.33,786.27,1134.67
261,555.45,789.94,1121.00
262,555.56,793.61,1102.33
263,555.67,797.28,1099.33
264,555.79,800.95,1113.00
265,555.90,804.61,1107.33
266,556.01,808.28,1109.33
267,556.13,811.94,1095.67
268,556.24,815.60,1098.33
269,556.35,819.26,1092.00
270,556.47,822.92,1094.33
271,556.58,826.57,1086.00
272,556.69,830.23,1091.67
273,556.81,833.88,1098.67
274,556.92,837.54,1102.00
275,557.03,841.19,1091.67
276,557.15,844.84,1088.00
277,557.26,848.49,1105.00
278,557.37,852.13,1114.00
279,557.49,855.78,1118.33
280,557.60,859.42,1116.33
281,557.71,863.07,1133.33
282,557.83,866.71,1129.33
283,557.94,870.35,1137.00
284,558.05,873.99,1152.33
285,558.17,877.62,1176.67
286,558.28,881.26,1199.00
287,558.39,884.89,1218.00
288,558.51,888.53,1262.67
289,558.62,892.16,1299.33
290,558.73,895.79,1333.33
291,558.85,899.42,1410.67
292,558.96,903.05,1434.67
293,559.07,906.67,1414.67
294,559.19,910.30,1343.33
295,559.30,913.92,1302.67
296,559.41,917.55,1268.33
297,559.53,921.17,1227.00
298,559.64,924.79,1193.67
299,559.75,928.41,1169.00
300,559.87,932.02,1148.00
301,559.98,935.64,1130.67
302,560.09,939.25,1137.00
303,560.21,942.86,1134.67
304,560.32,946.48,1148.67
305,560.43,950.09,1132.67
306,560.55,953.70,1152.33
307,560.66,957.30,1137.33
308,560.77,960.91,1138.00
309,560.89,964.51,1100.67
310,561.00,968.12,1098.00
311,561.11,971.72,1093.00
312,561.23,975.32,1100.00
313,561.34,978.92,1092.33
314,561.45,982.52,1094.33
315,561.57,986.11,1094.67
316,561.68,989.71,1106.00
317,561.79,993.30,1104.00
318,561.91,996.89,1102.33
319,562.02,1000.48,1102.33
320,562.13,1004.07,1101.67
321,562.25,1007.66,1106.00
322,562.36,1011.25,1094.67
323,562.47,1014.83,1087.67
324,562.59,1018.42,1079.00
325,562.70,1022.00,1081.00
326,562.81,1025.58,1094.33
327,562.93,1029.16,1108.00
328,563.04,1032.74,1101.67
329,563.15,1036.32,1106.33
330,563.27,1039.89,1085.67
331,563.38,1043.47,1088.33
332,563.49,1047.04,1077.33
333,563.61,1050.61,1090.00
334,563.72,1054.18,1084.33
335,563.83,1057.75,1085.67
336,563.95,1061.32,1079.33
337,564.06,1064.89,1097.00
338,564.17,1068.45,1103.33
339,564.29,1072.02,1119.00
340,564.40,1075.58,1106.33
341,564.51,1079.14,1098.00
342,564.63,1082.70,1094.33
343,564.74,1086.26,1088.67
344,564.86,1089.81,1097.00
345,564.97,1093.37,1089.33
346,565.08,1096.92,1097.33
347,565.20,1100.47,1081.67
348,565.31,1104.03,1085.33
349,565.42,1107.58,1086.67
350,565.54,1111.12,1101.00
351,565.65,1114.67,1091.67
352,565.76,1118.22,1096.67
353,565.88,1121.76,1091.67
354,565.99,1125.31,1111.33
355,566.10,1128.85,1112.00
356,566.22,1132.39,1122.00
357,566.33,1135.93,1099.00
358,566.44,1139.46,1086.33
359,566.56,1143.00,1074.33
360,566.67,1146.54,1088.33
361,566.78,1150.07,1089.00
362,566.90,1153.60,1091.67
363,567.01,1157.13,1096.67
364,567.12,1160.66,1096.67
365,567.24,1164.19,1096.00
366,567.35,1167.72,1091.67
367,567.47,1171.24,1110.67
368,567.58,1174.77,1110.00
369,567.69,1178.29,1098.67
370,567.81,1181.81,1093.67
371,567.92,1185.33,1088.67
372,568.03,1188.85,1092.33
373,568.15,1192.36,1084.67
374,568.26,1195.88,1090.33
375,568.37,1199.40,1087.33
376,568.49,1202.91,1081.00
377,568.60,1206.42,1089.33
378,568.71,1209.93,1087.33
379,568.83,1213.44,1102.67
380,568.94,1216.95,1102.00
381,569.05,1220.45,1103.33
382,569.17,1223.96,1088.67
383,569.28,1227.46,1084.67
384,569.40,1230.96,1086.00
385,569.51,1234.46,1092.33
386,569.62,1237.96,1081.67
387,569.74,1241.46,1098.67
388,569.85,1244.96,1105.00
389,569.96,1248.45,1115.33
390,570.08,1251.95,1104.67
391,570.19,1255.44,1095.33
392,570.30,1258.93,1106.00
393,570.42,1262.42,1105.33
394,570.53,1265.91,1102.67
395,570.64,1269.40,1084.33
396,570.76,1272.88,1074.67
397,570.87,1276.37,1089.33
398,570.98,1279.85,1079.67
399,571.10,1283.33,1086.00
400,571.21,1286.81,1070.00
401,571.33,1290.29,1087.67
402,571.44,1293.77,1078.33
403,571.55,1297.25,1077.00
404,571.67,1300.72,1076.00
405,571.78,1304.20,1107.00
406,571.89,1307.67,1106.33
407,572.01,1311.14,1104.33
408,572.12,1314.61,1077.67
409,572.23,1318.08,1102.33
410,572.35,1321.54,1098.67
411,572.46,1325.01,1116.33
412,572.57,1328.47,1097.67
413,572.69,1331.94,1090.67
414,572.80,1335.40,1081.33
415,572.91,1338.86,1078.67
416,573.03,1342.32,1084.33
417,573.14,1345.78,1087.33
418,573.26,1349.23,1096.00
419,573.37,1352.69,1098.33
420,573.48,1356.14,1100.33
421,573.60,1359.59,1088.33
422,573.71,1363.04,1079.00
423,573.82,1366.49,1067.00
424,573.94,1369.94,1085.33
425,574.05,1373.39,1092.33
426,574.16,1376.83,1094.67
427,574.28,1380.27,1084.00
428,574.39,1383.72,1092.67
429,574.50,1387.16,1094.67
430,574.62,1390.60,1082.67
431,574.73,1394.04,1090.33
432,574.85,1397.47,1082.00
433,574.96,1400.91,1091.67
434,575.07,1404.34,1080.33
435,575.19,1407.78,1093.67
436,575.30,1411.21,1086.67
437,575.41,1414.64,1079.00
438,575.53,1418.07,1084.00
439,575.64,1421.50,1108.67
440,575.75,1424.92,1104.33
441,575.87,1428.35,1106.33
442,575.98,1431.77,1094.33
443,576.09,1435.19,1122.67
444,576.21,1438.61,1122.00
445,576.32,1442.03,1133.33
446,576.44,1445.45,1134.00
447,576.55,1448.87,1138.00
448,576.66,1452.28,1152.67
449,576.78,1455.70,1157.67
450,576.89,1459.11,1157.67
451,577.00,1462.52,1136.00
452,577.12,1465.93,1140.00
453,577.23,1469.34,1134.33
454,577.34,1472.75,1136.33
455,577.46,1476.15,1123.00
456,577.57,1479.56,1127.33
457,577.68,1482.96,1119.00
458,577.80,1486.36,1113.33
459,577.91,1489.76,1103.00
460,578.02,1493.16,1100.33
461,578.14,1496.56,1090.33
462,578.25,1499.96,1088.00
463,578.37,1503.35,1098.33
464,578.48,1506.75,1105.00
465,578.59,1510.14,1101.67
466,578.71,1513.53,1092.67
467,578.82,1516.92,1096.00
468,578.93,1520.31,1101.33
469,579.05,1523.70,1102.00
470,579.16,1527.08,1089.33
471,579.27,1530.47,1086.00
472,579.39,1533.85,1094.33
473,579.50,1537.23,1099.33
474,579.61,1540.61,1102.67
475,579.73,1543.99,1094.33
476,579.84,1547.37,1086.67
477,579.96,1550.75,1088.33
478,580.07,1554.12,1084.00
479,580.18,1557.49,1096.00
480,580.30,1560.87,1089.00
481,580.41,1564.24,1106.00
482,580.52,1567.61,1099.67
483,580.64,1570.98,1099.67
484,580.75,1574.34,1085.67
485,580.86,1577.71,1090.33
486,580.98,1581.07,1083.67
487,581.09,1584.44,1087.67
488,581.20,1587.80,1112.33
489,581.32,1591.16,1118.67
490,581.43,1594.52,1128.67
491,581.54,1597.87,1105.67
492,581.66,1601.23,1108.00
493,581.77,1604.59,1108.67
494,581.89,1607.94,1105.67
495,582.00,1611.29,1102.67
496,582.11,1614.64,1096.33
497,582.23,1617.99,1102.67
498,582.34,1621.34,1117.67
499,582.45,1624.69,1127.67
500,582.57,1628.03,1130.00
501,582.68,1631.38,1150.33
502,582.79,1634.72,1144.67
503,582.91,1638.06,1165.67
504,583.02,1641.40,1160.00
505,583.13,1644.74,1157.00
506,583.25,1648.08,1128.67
507,583.36,1651.41,1115.33
508,583.47,1654.75,1119.67
509,583.59,1658.08,1124.00
510,583.70,1661.41,1119.00
511,583.81,1664.75,1106.33
512,583.93,1668.08,1099.33
513,584.04,1671.40,1098.67
514,584.16,1674.73,1110.00
515,584.27,1678.06,1113.67
516,584.38,1681.38,1120.67
517,584.50,1684.70,1108.67
518,584.61,1688.02,1108.33
519,584.72,1691.34,1092.33
520,584.84,1694.66,1093.00
521,584.95,1697.98,1097.33
522,585.06,1701.30,1090.00
523,585.18,1704.61,1087.67
524,585.29,1707.93,1086.33
525,585.40,1711.24,1090.67
526,585.52,1714.55,1081.00
527,585.63,1717.86,1083.00
528,585.74,1721.17,1088.00
529,585.86,1724.47,1093.67
530,585.97,1727.78,1069.67
531,586.08,1731.08,1073.33
532,586.20,1734.38,1085.33
533,586.31,1737.69,1117.00
534,586.43,1740.99,1121.67
535,586.54,1744.29,1124.33
536,586.65,1747.58,1116.67
537,586.77,1750.88,1099.33
538,586.88,1754.17,1101.00
539,586.99,1757.47,1101.00
540,587.11,1760.76,1096.67
541,587.22,1764.05,1091.00
542,587.33,1767.34,1086.00
543,587.45,1770.63,1110.00
544,587.56,1773.91,1108.33
545,587.67,1777.20,1117.67
546,587.79,1780.48,1107.67
547,587.90,1783.77,1105.67
548,588.01,1787.05,1113.33
549,588.13,1790.33,1122.67
550,588.24,1793.61,1128.33
551,588.35,1796.89,1120.67
552,588.47,1800.16,1126.00
553,588.58,1803.44,1124.00
554,588.69,1806.71,1116.33
555,588.81,1809.98,1105.33
556,588.92,1813.25,1108.67
557,589.03,1816.52,1108.00
558,589.15,1819.79,1123.33
559,589.26,1823.06,1114.33
560,589.37,1826.32,1101.33
561,589.49,1829.59,1085.33
562,589.60,1832.85,1085.33
563,589.71,1836.11,1103.00
564,589.83,1839.37,1093.00
565,589.94,1842.63,1093.67
566,590.06,1845.89,1087.33
567,590.17,1849.15,1090.67
568,590.28,1852.40,1102.00
569,590.40,1855.65,1102.67
570,590.51,1858.91,1108.67
571,590.62,1862.16,1094.33
572,590.74,1865.41,1101.67
573,590.85,1868.66,1100.00
574,590.96,1871.90,1113.67
575,591.08,1875.15,1108.67
576,591.19,1878.39,1106.00
577,591.30,1881.64,1099.67
578,591.42,1884.88,1086.33
579,591.53,1888.12,1090.67
580,591.64,1891.36,1077.67
581,591.76,1894.59,1080.33
582,591.87,1897.83,1078.67
583,591.98,1901.07,1085.67
584,592.10,1904.30,1083.67
585,592.21,1907.53,1086.67
586,592.32,1910.76,1109.33
587,592.44,1913.99,1115.00
588,592.55,1917.22,1104.33
589,592.66,1920.45,1088.33
590,592.78,1923.68,1110.00
591,592.89,1926.90,1124.67
592,593.00,1930.12,1116.67
593,593.12,1933.34,1100.00
594,593.23,1936.57,1091.00
595,593.34,1939.78,1082.00
596,593.46,1943.00,1069.67
597,593.57,1946.22,1073.33
598,593.68,1949.43,1092.33
599,593.80,1952.65,1102.33
600,593.91,1955.86,1092.33
601,594.02,1959.07,1102.33
602,594.14,1962.28,1177.67
603,594.25,1965.49,1221.33
604,594.36,1968.70,1198.00
605,594.48,1971.91,1119.00
606,594.59,1975.11,1082.33
607,594.70,1978.31,1093.67
608,594.82,1981.52,1099.67
609,594.93,1984.72,1093.33
610,595.04,1987.92,1085.33
611,595.16,1991.11,1081.00
612,595.27,1994.31,1091.00
613,595.38,1997.51,1096.67
614,595.49,2000.70,1103.67
615,595.61,2003.89,1083.67
616,595.72,2007.09,1082.33
617,595.83,2010.28,1078.00
618,595.95,2013.47,1075.33
619,596.06,2016.65,1079.00
620,596.17,2019.84,1079.00
621,596.29,2023.03,1091.00
622,596.40,2026.21,1086.00
623,596.51,2029.39,1079.67
624,596.63,2032.57,1082.33
625,596.74,2035.75,1084.33
626,596.85,2038.93,1084.33
627,596.97,2042.11,1098.00
628,597.08,2045.28,1106.67
629,597.19,2048.46,1108.00
630,597.31,2051.63,1096.67
631,597.42,2054.81,1080.33
632,597.53,2057.98,1083.33
633,597.65,2061.15,1090.33
634,597.76,2064.31,1105.00
635,597.87,2067.48,1095.67
636,597.99,2070.65,1093.33
637,598.10,2073.81,1077.33
638,598.21,2076.97,1086.67
639,598.32,2080.13,1091.00
640,598.44,2083.29,1101.33
641,598.55,2086.45,1109.00
642,598.66,2089.61,1099.33
643,598.78,2092.77,1106.67
644,598.89,2095.92,1104.67
645,599.00,2099.08,1103.00
646,599.12,2102.23,1096.33
647,599.23,2105.38,1085.00
648,599.34,2108.53,1104.00
649,599.46,2111.68,1096.33
650,599.57,2114.83,1110.33
651,599.68,2117.97,1097.00
652,599.80,2121.12,1099.33
653,599.91,2124.26,1091.67
654,600.02,2127.40,1097.33
655,600.14,2130.54,1105.67
656,600.25,2133.68,1111.33
657,600.36,2136.82,1114.33
658,600.47,2139.96,1119.33
659,600.59,2143.09,1113.67
660,600.70,2146.23,1093.00
661,600.81,2149.36,1083.67
662,600.93,2152.49,1083.67
663,601.04,2155.62,1082.33
664,601.15,2158.75,1079.00
665,601.27,2161.88,1084.00
666,601.38,2165.00,1106.67
667,601.49,2168.13,1111.67
668,601.60,2171.25,1117.33
669,601.72,2174.38,1103.00
670,601.83,2177.50,1091.00
671,601.94,2180.62,1085.33
672,602.06,2183.74,1095.33
673,602.17,2186.85,1103.67
674,602.28,2189.97,1101.33
675,602.40,2193.08,1100.00
676,602.51,2196.20,1111.33
677,602.62,2199.31,1113.00
678,602.74,2202.42,1118.00
679,602.85,2205.53,1123.67
680,602.96,2208.64,1137.67
681,603.07,2211.75,1138.33
682,603.19,2214.85,1148.00
683,603.30,2217.96,1147.33
684,603.41,2221.06,1171.33
685,603.53,2224.16,1179.67
686,603.64,2227.26,1229.00
687,603.75,2230.36,1309.67
688,603.86,2233.46,1445.00
689,603.98,2236.56,1673.00
690,604.09,2239.65,1972.00
691,604.20,2242.74,2335.67
692,604.32,2245.84,2642.00
693,604.43,2248.93,2796.00
694,604.54,2252.02,2669.67
695,604.66,2255.11,2322.67
696,604.77,2258.20,1915.67
697,604.88,2261.28,1599.00
698,604.99,2264.37,1433.33
699,605.11,2267.45,1325.67
700,605.22,2270.53,1281.00
701,605.33,2273.61,1228.33
702,605.45,2276.69,1204.33
703,605.56,2279.77,1183.33
704,605.67,2282.85,1170.00
705,605.78,2285.93,1165.67
706,605.90,2289.00,1145.33
707,606.01,2292.07,1135.33
708,606.12,2295.15,1132.00
709,606.24,2298.22,1118.33
710,606.35,2301.29,1119.67
711,606.46,2304.35,1088.67
712,606.57,2307.42,1108.67
713,606.69,2310.49,1101.67
714,606.80,2313.55,1117.67
715,606.91,2316.62,1107.67
716,607.03,2319.68,1116.00
717,607.14,2322.74,1105.33
718,607.25,2325.80,1112.33
719,607.36,2328.85,1106.00
720,607.48,2331.91,1118.00
721,607.59,2334.97,1124.33
722,607.70,2338.02,1117.33
723,607.81,2341.07,1106.33
724,607.93,2344.13,1105.67
725,608.04,2347.18,1104.33
726,608.15,2350.22,1112.00
727,608.27,2353.27,1096.67
728,608.38,2356.32,1098.67
729,608.49,2359.36,1102.67
730,608.60,2362.41,1106.67
