Lambda,Absorption
1068.009892742392,0.0005780953238251494
1067.4348924849278,-0.008885158575650606
1066.9747338214754,0.0009770697545726805
1066.3993375199227,-0.011648092692319633
1065.7085717553753,-0.0051924004083540665
1065.0174895997677,0.025972620205304536
1064.4413462638306,0.011389424042624682
1063.7496845908886,0.0028013872795214527
1063.057707108448,-0.007236322872424305
1062.3654140219444,0.0008349982626478833
1061.6728055369092,0.016513037568007642
1061.09539101829,0.012603131410940594
1060.402204836731,0.005274282722559724
1059.7087038394836,-0.012742723417902842
1059.0148882324368,-0.0185629058115601
1058.3207582215734,-0.009874741885011995
1057.7420765249415,-0.020194212676074953
1057.0473706423716,-7.702649596650193e-05
1056.3523509401075,0.0017114994283814278
1055.657017624489,-0.010619381411076729
1054.9613709019497,-0.0035744713131447676
1054.2654109790146,0.0028489665647619443
1053.685205275329,-0.015486178623311404
1052.9886716883711,-0.0032628559490567185
1052.2918254866788,0.009792936898405484
1051.5946668771348,-0.006112565264878169
1050.8971960667131,-0.005892739628571758
1050.3157320539667,0.011741630756696013
1049.6176894131372,-0.0055831243891522764
1048.9193351583615,-0.010463946727203799
1048.22066949697,-0.0026628600168809935
1047.5216926363842,-0.011554755206985257
1046.938974347332,-0.01933195520117254
1046.239427493919,-0.0010235907132182525
1045.5395700295098,-0.01330817011057018
1044.83940216188,-0.010055625836690884
1044.138924098898,-0.009217078250851888
1043.4381360485243,-0.013589774576414955
1042.8539093607185,-0.021959015903940136
1042.1525535405503,0.0024894554630651915
1041.4508883227106,0.0032836518498671778
1040.7489139155116,0.005803138340988231
1040.0466305273585,-0.00511132393257402
1039.4611584938625,-0.00294028968002455
1038.7583091822028,0.009787517375296864
1038.0551514805657,-0.012109344842830697
1037.351685597707,0.004681089595839799
1036.647911742474,-0.0016489560248603478
1036.0611984238415,0.013699097494207058
1035.3568604953148,-0.0034564460320353654
1034.6522151866443,0.009676159575655931
1033.9472627070272,0.015213966079258475
1033.242003265752,0.009062233248157957
1032.5364370721986,0.002958171767366099
1031.9482310707003,0.011753041595492576
1031.2421030420778,0.016032107175256532
1030.5356688549139,0.019273000722606876
1029.8289287189373,0.00959657209489709
1029.121882843967,0.02559591364318427
1028.5324445489753,0.023987475518554808
1027.8248386977655,0.01118751738321312
1027.1169277025429,-0.008602276597048914
1026.4087117734744,0.005789622985492463
1025.7001911208179,0.0005932098920737543
1024.9913659549209,0.015323623589665951
1024.4004458542108,0.013652628204327274
1023.6910629606599,-0.007568452284375064
1022.9813761503456,-0.016572846305919854
1022.2713856339616,-0.011691660378375095
1021.5610916222918,0.022001019320733377
1020.9689482613571,0.008301498165907662
1020.2580983894173,0.011778667196799979
1019.5469456199035,0.016208781370735528
1018.8354901639449,0.009667948688856839
1018.1237322327609,-0.007924069479750454
1017.5303697184235,0.0003992851162056739
1016.8180577982076,0.0024009885604415523
1016.1054440017081,-0.012773092796424324
1015.3925285404887,-0.001766835332081232
1014.6793116262011,0.0010896996567353406
1013.9657934705882,0.010451959505456108
1013.3709650454995,0.010259682742761391
1012.6568951643615,0.009249588595846245
1011.9425246423197,0.013989425767589408
1011.2278536914587,0.003972231768732568
1010.5128825239523,-0.012786073411869029
1009.9168440386719,-0.003953087524775919
1009.2013230253408,-0.0025274680467164477
1008.4855023970078,-0.00911146717746785
1007.7693823661875,0.003239176278262251
1007.0529631454842,-0.010767563585382722
1006.4557187338492,-0.005207390718532047
1005.738751550835,-0.0039021450129421327
1005.0214857807982,0.00011643339204044392
1004.3039216366834,0.012741263537635933
1003.5860593315224,-0.0038460885134006875
1002.8678990784375,-0.012503676406926565
1002.2692047555756,0.007901152190819149
1001.5504988184462,-0.0024976838457291136
1000.8314955377164,-0.027599033392055012
1000.1121951268461,-0.010487796279172037
999.392597799384,-0.03215318890047133
998.7927067026719,-0.01776220083306926
998.0725655830487,0.0006047357542975937
997.352128152366,0.019805460083014894
996.6313946245082,0.004582811226605568
995.91036521345,-0.01197929417679843
995.3092815034447,-0.0008245163787129745
994.5877101958807,-0.008421657448556314
993.865843611852,-0.011969446328471163
993.1436819656687,-0.013562412840427173
992.4212254717283,-0.004144997947281809
991.698474344516,-0.013381809813335083
991.0959568262241,0.0044100511357379624
990.3726660953698,-0.0013315717362744307
989.6490813394267,0.0021647608617786545
988.9252027732152,-0.008078943723616339
988.2010306116425,0.0037252957407145
987.597329691203,-0.00368038585621619
986.87261982992,-0.011497020675881382
986.1476169826533,-0.004579992517937903
985.4223213646444,0.006185833193176381
984.6967331912213,0.006075285949400391
983.970852677799,-0.0009718128773845813
983.3657290901413,-0.0017524443054031558
982.6393131798228,0.0004896971564145983
981.9126055403184,0.0028203696150401023
981.185606387376,-0.0006272577693133415
980.4583159368292,-0.0006314257137391717
979.8520181981437,-0.00577497874596389
979.1241942628444,0.001927905917134628
978.39607964194,0.0030963200228992884
977.6676745515947,-0.001062943768934665
976.9389792080607,-0.0015516788170772593
976.3315115233371,0.0010471061381292443
975.6022846108948,0.0029973205253183066
974.872768058443,0.0003495978633733352
974.1429620825629,-0.0011764309366775404
973.4128668999224,-0.006849644057995477
972.6824827272736,-0.0049909350508083655
972.0736086502462,0.0029464066188159854
971.3426952258238,-0.003948322292403558
970.6114934259928,-0.0030053828083969917
969.8800034678345,-0.0011060348625887874
969.1482255685169,-0.004613603626893311
968.5381908541005,-0.004934356271934013
967.8058856269713,-0.0021414898983932503
967.0732930744535,-0.002127899266821194
966.3404134140412,-0.0005949579085980924
965.607246863314,0.002240891759137431
964.9960557424164,-0.0009581743801782677
964.262363791498,0.0019238674846982686
963.5283855672031,0.00217688739789197
962.7941212874379,-0.006672468495930926
962.0595711701924,0.0003188554997439191
961.324735433543,-0.002922875074389589
960.7121542955686,-0.006045564406091785
959.976795490017,-0.008293946116172055
959.2411516834026,0.004166924443252266
958.5052230941257,-0.0019314380073474757
957.7690099406713,-0.00638095281062965
957.1552817617302,0.003975906172599652
956.4185474750176,-0.0
955.6815292436261,0.0052032868996059
954.9442272863647,-0.0002519862649835888
954.2066418221258,-0.0037803792881271094
953.5917708587418,0.009212494342204575
952.8536662005026,-0.002645879302677991
952.1152786559392,-0.002169829663449894
951.3766084442652,-0.00041480805049256593
950.6376557847802,0.008517715979280392
949.8984208968669,0.0005427997989503894
949.282176390777,-0.0005837720893921069
948.5424246541419,0.0009417684144222963
947.8023913111174,0.008838742291833302
947.0620765814072,-0.0028633600682067143
946.3214806847981,-0.0015171453386086406
945.7041028159774,-5.710733331707221e-05
944.9629920178334,0.006749247935496006
944.2216006759741,0.007604696082434376
943.4799290105055,0.0061065029287514965
942.7379772416182,0.00040990515728521384
941.995745589585,-0.003623704402352055
941.3770055722387,0.0007971935597930422
940.6342613734784,0.005029951656387954
939.8912379161303,0.0005025617038479156
939.1479354207853,-0.0015936576500410586
938.4043541081181,-0.0013885452934955824
937.7844901880367,-0.002382427669639831
937.0403982836923,0.0006689774973462908
936.2960281877181,-0.0009034163207222708
935.5513801211048,-0.003980581075576298
934.8064543049262,-0.00023523838064610426
934.185470781188,0.005098794697862793
933.4400363319236,0.006245303083684037
932.6943247599165,0.0031326530525142443
931.9483362865562,-0.0007523843894376862
931.2020711333139,0.0015248808321199942
930.4555295217432,0.0038735660515912575
929.8332004885526,0.007788282606839365
929.0861526124102,-0.0003118686491517376
928.33882890612,0.00021891107740892377
927.5912295915508,0.0034406106009871075
926.8433548906514,0.0026667297964409345
926.2199157688602,-9.219748368000562e-05
925.4715367697471,-0.000884702267145474
924.7228830136058,-0.002363362512317601
923.9739547226989,-0.001519673935003528
923.2247521193702,-0.0015636207348351176
922.6002072328528,-0.0017297286911022451
921.8505023011663,-0.0031093508152890527
921.1005236874764,-0.0020385590961560615
920.3502716144385,-0.0015665014213762222
919.5997463047904,-0.002517391410262213
918.8489479813502,-0.0019616746802744688
918.2230743204229,-0.0052634713859434894
917.4717760506757,-0.003856880119694052
916.720205398895,-0.003083057932915275
915.96836258821,-0.0048834839826482224
915.2162478418302,-0.004663488683126227
914.589277985615,-0.006876742704330158
913.8366652704539,-0.005938459026170893
913.0837812524634,-0.000707690991986127
912.3306261551618,-0.002272188582800662
911.5772002021488,-0.002461729572610678
910.9491384990073,-0.003726634363137032
910.195216558193,-0.001670177031063416
909.4410243956343,-0.0004944065691675439
908.6865622352384,-0.004598600976436278
907.9318303009924,-0.00643038730742184
907.1768288169638,-0.0033501184375484693
906.5474551692314,-0.0015472500705014664
905.7919600928191,-0.0038441266227059235
905.0361961019157,-0.00404059961639637
904.2801634208952,-0.006299663858936342
903.5238622742105,-0.006607904064748682
902.8934064026895,-0.0029398109722019515
902.1366136521746,-0.0035460776274013855
901.3795530723796,-0.0023574404163988674
900.6222248880636,-0.007230434756385739
899.8646293240646,-0.0041880676649856995
899.1067666052999,-0.0015326132419641383
898.4750104254271,-0.0001781975794239525
897.7166585073493,-0.002962259540543347
896.9580400722022,-0.004684990093996908
896.1991553452074,-0.0021465285274382775
895.4400045516649,-0.000157021839328466
894.8071758076977,-0.003916838019336735
894.047537810901,-0.004568408730319599
893.2876343863364,-0.006796480437061761
892.5274657596058,-0.004198816682899576
891.7670321563905,-0.0016899173006468989
891.133135237325,-0.0038818667415795377
890.3722164302939,-0.005518647137270691
889.611033286636,-0.008842973633192133
888.8495860323341,-0.0020090251311252446
888.0878748934484,-0.001659530561204768
887.3259000961186,-0.002924986740351325
886.6907198557905,-0.006396411336500855
885.9282622722405,-0.0054562018161965434
885.165541671399,-0.0008408330246419384
884.4025582797055,0.0003261819714421342
883.6393123236767,-0.0038716599274644823
883.0030736204825,-0.006296913547416323
882.2393468850796,-0.006256089854472204
881.4753582275627,-0.0022246673854395805
880.7111078747473,-0.001080549229913909
879.9465960535265,-0.004459686489480687
879.3093033001124,-0.006571240760815558
878.5443127096981,-0.0038385715918233076
877.7790612941639,-0.0012936664511801754
877.0135492807,-0.002361103283329778
876.2477768965741,-0.004869932167615872
875.4817443691313,-0.007522786583046272
874.843185373078,-0.004607825995574412
874.0766765069425,-0.0008312836850749202
873.3099081420535,-0.0005583300178258496
872.5428805060517,-0.005048429011517948
871.7755938266549,-0.007022998370543023
871.1359905444597,-0.0030469024880943564
870.3682295438605,-0.0021305913981466457
869.6002101454833,-0.004021088778049496
868.8319325773408,-0.007024350369369969
868.0633970675216,-0.006759208993740293
867.4227539351657,-0.002843453217043667
866.6537461249239,-0.001419563649490471
865.8844810196724,-0.0023571505610721242
865.1149588477932,-0.0075391393938374135
864.3451798377447,-0.0067725146413308065
863.5751442180613,-0.003223326514314893
862.9332520120055,-0.0015034778216079588
862.1627465351327,-0.004504724456962099
861.3919850965527,-0.00819707274505004
860.6209679250924,-0.007974422444959628
859.8496952496533,-0.0019718352005738933
859.2067730086644,-0.0024000329607189144
858.4350325040259,-0.004955534481301693
857.6630371443766,-0.008263161070672334
856.8907871589089,-0.006359261689920177
856.118282776891,-0.0026496885812865387
855.3455242276663,-0.003456327210540442
854.7013647799863,-0.007484616806175788
853.9281408534562,-0.00945523474637543
853.1546634099361,-0.006293401581614726
852.3809326790582,-0.0020461647695984024
851.6069488905306,-0.0034470122512238075
850.9617692579387,-0.006719953695949103
850.1873221272377,-0.007305474337485993
849.4126225901329,-0.002905193142220973
848.6376708766201,-0.0014885137354881126
847.8624672167691,-0.003666059746071229
847.2162718739212,-0.006359779461429496
846.4406069102422,-0.0069872839656725545
845.6646906524968,-0.004227099647498907
844.8885233310414,-0.002616516751895867
844.1121051763073,-0.0050734795035685025
843.3354364188,-0.007936367383969578
842.6880211878865,-0.007002372737332142
841.9108935908828,-0.002837125298317062
841.1335160446085,-0.002359718520234029
840.3558887798546,-0.007130326964384555
839.5780120274853,-0.009884982901477593
838.9295909863021,-0.006709126963958464
838.1512574398234,-0.0029387161886867273
837.3726750602478,-0.0021513074905730894
836.593844078723,-0.005700849920260905
835.8147647264711,-0.008195895666596845
835.165342372155,-0.0046509107232861925
834.3858082743492,-0.0016851935471415237
833.6060264613452,-0.0006604605387074644
832.8259971646471,-0.004680315932755108
832.0457206158326,-0.007008197879227942
831.2651970465527,-0.003269815377314077
830.614572209806,-0.0016184028729492937
829.8335963715657,-0.0010204142291516444
829.0523741696028,-0.006294843581242925
828.2709058358488,-0.006844865327680145
827.489191602309,-0.004473292371010519
826.8375754016755,-0.0019887692292644334
826.0554109546719,-0.004245848897743542
825.2730012656258,-0.009088546455278642
824.4903465668215,-0.00994796607689327
823.7074470906161,-0.004906814914385913
823.0548440453924,-0.002146610360089476
822.2714964143426,-0.005838302489572144
821.487904664631,-0.010097107814787286
820.7040690288932,-0.009284338702524004
819.9199897398369,-0.003982815539812946
819.135667030242,-0.003789857790523352
818.4818789939907,-0.007578038072796851
817.6971106182297,-0.01130453420599132
816.9120994818658,-0.009866952946529258
816.1268458179557,-0.004849986264402207
815.341349859628,-0.00315083223932486
814.6865849765821,-0.0071375504029025675
813.9006454175479,-0.009743600130780912
813.114464225018,-0.005882007930254977
812.3280416323964,-0.0026972766157546996
811.5413778731585,-0.0020501770887797616
810.754473180852,-0.007050718940966733
810.0985353930446,-0.008073279509193327
809.3111895969236,-0.0052741572822716225
808.5236035298393,-0.0013574480146748885
807.7357774256133,-0.0032674562279715776
806.9477115181376,-0.008316902276943794
806.2908069143274,-0.008990907158589571
805.5023019752678,-0.003784626391269645
804.7135578960398,-0.0020753424675748725
803.9245749108086,-0.0023429737425776694
803.1353532538101,-0.007472009056583968
802.4774863899723,-0.007475949863849913
801.6878277766649,-0.00268298772180412
800.897931155643,-0.0009475540360340702
800.107796761414,-0.0039807034376998975
799.3174248285551,-0.00897435537084878
798.5268155917147,-0.008085003583266331
797.8677934564756,-0.004184585574796333
797.0767497720034,-0.003441274507485702
796.2854694487687,-0.007455963034569203
795.4939527216894,-0.010048177821758219
794.7021998257535,-0.0069419893581095125
794.0422255086223,-0.0027960850777843395
793.2500402469987,-0.0031213183192625193
792.4576194826986,-0.007341548679933865
791.6649634509785,-0.010108280172859663
790.8720723871648,-0.005794533000561592
790.2111504654065,-0.002241464896345987
789.4178291208475,-0.0034826784321777497
788.6242734113317,-0.007823355040380927
787.8304835724524,-0.00874238712916836
787.0364598398722,-0.004500574024138713
786.2422024493239,-0.0006187694411408134
785.5801429719253,-0.0027812846667344404
784.7854578209148,-0.008213276242582399
783.990539680221,-0.008392177823471455
783.1953887858417,-0.002553889654896525
782.4000053738439,0.00038071210623405905
781.7370084165791,-0.002655128616592734
780.9411993356282,-0.006829513515657461
780.1451584062902,-0.005859457177539282
779.3488858648961,-0.0011778727086087055
778.5523819478461,0.00038984721290127297
777.8884521089433,-0.002753463573536466
777.091524617402,-0.006575136746864956
776.2943664203772,-0.005947630644996897
775.4969777545323,-0.0010837258700720552
774.6993588565983,0.001238294043095428
773.9015099633752,-0.003635141338280238
773.2364603657298,-0.007713290338248543
772.4381904297247,-0.0049687388388617755
771.6396911697334,-0.0006205863444476107
770.8409628228172,-0.0014610081622582264
770.042005626105,-0.0062317126311966795
769.3760333174857,-0.0076901573160370615
768.5766571789168,-0.004570058349202739
767.7770528627864,-0.0006232578203819797
766.9772206064838,-0.0013330306587947818
766.1771606474657,-0.0065001702323945545
765.3768732232568,-0.0073670805637917145
764.7097934496925,-0.003985737577543853
763.9090896230945,0.0008891682843776889
763.1081590046578,-0.0011999095953753563
762.3070018321653,-0.004923812051947549
761.5056183434673,-0.00566244589938942
760.8376260607611,-0.001439675555659117
760.0358282769924,0.0006755008398533818
759.2338048512914,-0.0018652423856715173
758.4315560217658,-0.005016785406644843
757.6290820265897,-0.005638826131735843
756.9601818676149,-0.001048422057191144
756.1572956875596,0.0013206229694099868
755.3541850170436,-0.00297548864539349
754.5508500944973,-0.0061838237499769865
753.7472911584172,-0.004729999674655054
752.9435084473664,0.0008867178300380338
752.2735187544348,8.137023866815025e-05
751.4693264090936,-0.0039016495348341796
750.6649109650715,-0.005703027724613065
749.8602726611861,-0.0034440328195722214
749.0554117363209,0.0011074277628614253
748.3845244136288,0.002875355360694799
747.579255970954,-0.002898363609202867
746.7737655844952,-0.005889697774115217
745.9680534933889,-0.0033843308251590093
745.162119936838,0.00014757846988880044
744.4903396373376,-0.0004573381943704599
743.6840006822841,-0.005246320197722112
742.8774409398831,-0.0063697366517209255
742.0706606495884,-0.003954320573157749
741.2636600509193,-0.0012805721233311296
740.4564393834612,-0.00223266905036953
739.7835875587037,-0.005608245697844777
738.9759640542711,-0.005799239614240973
738.1681211602279,-0.0020685344243702155
737.3600591164094,8.479066681346384e-05
736.5517781627156,-0.0023898801508294423
735.8780436516037,-0.0063308156675253415
735.0693619864281,-0.0060929234274054705
734.2604620914467,-0.001468661115035447
733.4513442068089,0.0005587953463461045
732.6420085727276,-0.002708094285914106
731.9673960479599,-0.006256643567319937
731.1576618306689,-0.005528934130558788
730.3477105448907,-0.0008504603993890095
729.5375424310861,-0.001081232295668762
728.7271577297807,-0.004228192102647665
727.9165566815642,-0.0072709703307205905
727.2408907166666,-0.004810398910215579
726.4298936575243,-0.001039727367780238
725.61868093349,-0.0016459225698712884
724.8072527853992,-0.006070951705770201
723.9956094541516,-0.006800531598808302
723.3190758092638,-0.003935760586303336
722.5070386014431,-0.00038991377908796903
721.694786893361,-0.002799666541148677
720.8823209261606,-0.005629217520393261
720.06964094105,-0.005990801267681085
719.2567471793003,-0.0037013286818370554
718.5791725836854,-0.0017955324402426415
717.7658875249424,-0.0027521970973316927
716.9523893735062,-0.00665624188120202
716.1386783708907,-0.006817925889125069
715.3247547586733,-0.0027382380953149374
714.6463228460422,-0.0005813266809104808
713.8320100771932,-0.003489431036416141
713.0174853835533,-0.005461437985581986
712.2027490069414,-0.004600293446362296
711.3878011892391,-0.0008119179456053982
710.7085166648699,-0.00018464218795746125
709.8931818335966,-0.0036106309413006634
709.0776362469053,-0.006394362339451186
708.261880146917,-0.004756969090843247
707.4459137758162,-0.0010213355750637305
706.6297373758501,-0.00014025575012126354
705.9494301119736,-0.00434074735622361
705.1328692884625,-0.004455697806009904
704.3160991227903,-0.0025521462547103595
703.4991198574421,0.0011429231768819213
702.6819317349652,4.683898776954085e-05
702.0007822642905,-0.003824072074398339
701.1832118672338,-0.004919929481364943
700.365433300603,-0.003140591880544401
699.5474468071827,0.0004905570891394223
698.7292526298198,-0.00108451895800676
698.047265676472,-0.004054770394839324
697.228691376145,-0.003683489843695545
696.4099100802747,-0.0026700252109357033
695.5909220319438,0.000747697550579647
694.7717274742961,-0.0006182879718168755
693.9523266505372,-0.005068834841148855
693.2693352418498,-0.004780527297608822
692.4495568954142,-0.0004493985948149091
691.6295729722802,0.00014656513219243108
